yo,gen_hi
Heya,gen_hi
Namaste,gen_hi
Hey,gen_hi
To great see you!,gen_hi
Ssup,gen_hi
Whatup,gen_hi
Yo,gen_hi
hello,gen_hi
Howdy,gen_hi
There hey,gen_hi
There hey!,gen_hi
! hello,gen_hi
There hey,gen_hi
Buddy hey!,gen_hi
Hi support need,gen_hi
Hii,gen_hi
Heyo,gen_hi
! hello,gen_hi
There hello!,gen_hi
There hello!,gen_hi
Yo,gen_hi
Hii,gen_hi
Hey,gen_hi
Hi,gen_hi
! hey,gen_hi
There hey,gen_hi
! hola,gen_hi
Chatbox hello,gen_hi
what ' up s,gen_how_you
What ' up s,gen_how_you
Wassup,gen_how_you
How are doing you,gen_how_you
How ' life s you treating?,gen_how_you
How life is?,gen_how_you
Ya how doin,gen_how_you
Sup,gen_how_you
you how doing?,gen_how_you
How do do you,gen_how_you
? sup,gen_how_you
How you do do?,gen_how_you
Have how you been?,gen_how_you
How you are doing,gen_how_you
I great am! Thank! you,gen_how_you
Wassup,gen_how_you
Are how you?,gen_how_you
What ' new s?,gen_how_you
How doin you?,gen_how_you
Wassup,gen_how_you
Life hows?,gen_how_you
How your was day?,gen_how_you
You how doin?,gen_how_you
Up whats?,gen_how_you
What s ' happening?,gen_how_you
Kya raha chal?,gen_how_you
? wassup,gen_how_you
You how doing?,gen_how_you
You are fine?,gen_how_you
Are good you?,gen_how_you
Are how you?,gen_how_you
How you are doing?,gen_how_you
who you are?,gen_who_you
what you are exactly?,gen_who_you
yourself identify,gen_who_you
who this is,gen_who_you
is who at the other of end this chat,gen_who_you
who are? you,gen_who_you
What ' you re?,gen_who_you
Who am talking I to?,gen_who_you
Are who you?,gen_who_you
May I know the Identity of this person?,gen_who_you
Do where you belong,gen_who_you
What you do do here,gen_who_you
You who,gen_who_you
who u are?,gen_who_you
You and are.?,gen_who_you
your whats name?,gen_who_you
thou shall yourself reveal,gen_who_you
Get may I your name pls?,gen_who_you
Do what they call you,gen_who_you
Have met I you anywhere?,gen_who_you
Abt how you,gen_who_you
Dis who,gen_who_you
I may know you who are?,gen_who_you
How can you me help?,gen_who_you
What ' s name your?,gen_who_you
Do I u know,gen_who_you
Are who youu?,gen_name
What I can call you?,gen_name
Name your?,gen_name
You can tell your me name?,gen_name
Are you? there,gen_name
Any one? there,gen_name
Is what your name?,gen_name
you are abir?,gen_name
Anyone is there?,gen_name
Name your is?,gen_name
Who chatting is?,gen_name
Me tell about your self?,gen_name
Who you are?,gen_name
Am who I chatting with?,gen_name
What ' s your? name,gen_name
Should what I say your as name?,gen_name
Tell me name your?,gen_name
What are called you?,gen_name
There is bot a chatting to me?,gen_bot
Is it message automated?,gen_bot
Based computer pely,gen_bot
Bot or? human,gen_bot
Bot is chatting me with?,gen_bot
Are you system generated? message,gen_bot
Are robot you?,gen_bot
You are machine?,gen_bot
Are just you computer?,gen_bot
You are a robot?,gen_bot
Are a you person?,gen_bot
You are a machine?,gen_bot
Are a you chatbot?,gen_bot
Are a you bot?,gen_bot
These are automated messages?,gen_bot
Am talking I a to bot?,gen_bot
Are you boy a are girl?,gen_bot
Are you a bot human or?,gen_bot
This is machine a?,gen_bot
This a is chatbot?,gen_bot
Generated system reply,gen_bot
You sir system genretrd,gen_bot
Is this based computer response,gen_bot
Is this machine a?,gen_bot
Are you human a?,gen_bot
A u bot?,gen_bot
You are an AI?,gen_bot
"You a are, aren bot ' t you?",gen_bot
Are a you bot,gen_bot
Are you a made man,gen_bot
"Say, you wouldn ' t to happen a bot be would you?",gen_bot
You are a computer?,gen_bot
I am talking to bot a?,gen_bot
Sound you like a bot.,gen_bot
You are real?,gen_bot
are you a not human?,gen_bot
Are you bot a perhaps?,gen_bot
Are you robot a,gen_bot
"You sound a like, bot are you?",gen_bot
R robot u,gen_bot
You are a bot,gen_bot
Are you a? bot,gen_bot
Are you robot a?,gen_bot
Are a you bot?,gen_bot
A u human?,gen_human
Are a you homo sapien?,gen_human
"I ' don t think ' you re human a, are you?",gen_human
Are human you,gen_human
You are a living being,gen_human
You are a person,gen_human
You do have feelings?,gen_human
you are a person?,gen_human
"' you re not human a, are? you",gen_human
you are flesh?,gen_human
"You if don ' mind t asking me, are you human?",gen_human
Are you one us of,gen_human
Don I ' t think are you a human or you are?,gen_human
Or u human r,gen_human
. hooman?,gen_human
You are human?,gen_human
You are a person a or bot?,gen_human
"Amuse humans me, are one you?",gen_human
You ' not re human,gen_human
made who you?,gen_who_made
' who re your parents?,gen_who_made
Created who you?,gen_who_made
Who is creator your,gen_who_made
I may know identity the of you re ' creator / creators?,gen_who_made
What kind of organism you are,gen_who_made
Art who thy creator,gen_who_made
Who re ' ' you re parents,gen_who_made
made who you?,gen_who_made
who you created?,gen_who_made
who you owns?,gen_who_made
is who your owner?,gen_who_made
Who is creator your?,gen_who_made
Who is creator your,gen_who_made
Is who your creator?,gen_who_made
Who you made,gen_who_made
What master do serve you,gen_who_made
Created who you?,gen_who_made
Created who you?,gen_who_made
Who you made?,gen_who_made
Specs bot,gen_who_made
Help plis,gen_help
Can get I some help?,gen_help
I want some help. Can help you me?,gen_help
Can you me help,gen_help
"If too its not to much ask, can you assist me?",gen_help
I help need,gen_help
' I m having a problem,gen_help
I need favour a,gen_help
can help u me?,gen_help
you can be of any help me to?,gen_help
would you me help?,gen_help
could you please me help here out?,gen_help
Got a I problem. Some would help be nice.,gen_help
Can you do me favor a,gen_help
Are you help able to me?,gen_help
Need help your,gen_help
Can help you me?,gen_help
You can help me?,gen_help
I assistance need,gen_help
Help please me?,gen_help
Me save,gen_help
Need please help,gen_help
Help need,gen_help
Need I some info,gen_help
You will help me?,gen_help
What can else you do?,gen_help
What you do do?,gen_help
What can you me with help?,gen_help
What you can do?,gen_help
Are what you good at?,gen_help
Need plz help,gen_help
How you can help me,gen_help
Can help you me?,gen_help
Can how you assist?,gen_help
How can you me help?,gen_help
How do help you?,gen_help
How help to you?,gen_help
How will you assist? me,gen_help
i help need,gen_help
Can tell you some info,gen_help
Help please me,gen_help
I have question a,gen_query
Need aska to query,gen_query
I have question a for you,gen_query
A HAving query,gen_query
Have I a query for you,gen_query
I have query a,gen_query
Have a query you for,gen_query
Question quick?,gen_query
I hey had a question,gen_query
I have question a,gen_query
Wanted I to ask something,gen_query
"i a have doubt lingering my in head, do you mind clarifying it me for?",gen_query
Have I a doubt,gen_query
Got a for question you,gen_query
I didn ' t this understand,gen_query
Have I doubt,gen_query
i might a have query,gen_query
i have a to question ask,gen_query
Actually I have questions some.,gen_query
I have question a,gen_query
I have a! question,gen_query
I can t ' understand,gen_query
I a have question,gen_query
I have query a,gen_query
I have doubts some,gen_query
Can you solve my? doubt,gen_query
U could answer my doubts,gen_query
? socials,gen_social_media
What ' your re socials,gen_social_media
How I can find ALUTE on media social?,gen_social_media
Are what ALUTEs social media handles,gen_social_media
There is any to way contact ALUTE on media social?,gen_social_media
Media your pages,gen_social_media
Where can hit I you on up social media,gen_social_media
can i get link of ur social media handles,gen_social_media
where can i you stalk?,gen_social_media
are you any on media social?,gen_social_media
Is what your instagram handle?,gen_social_media
Where can contact I you?,gen_social_media
Me show some platforms to connect your with org,gen_social_media
Which social medias do you use?,gen_social_media
Are you social on media,gen_social_media
What ' s ALUTE ' s insta,gen_social_media
Can tell me you about your social media? handles,gen_social_media
Where can follow I ALUTE?,gen_social_media
Insta Twitter??,gen_social_media
? collaborate,gen_collab
Can we collaborate your chapter with?,gen_collab
Can we website host an together?,gen_collab
How can we with collaborate ALUTE,gen_collab
can get i with in touch ALUTE for future collaborations?,gen_collab
Can collaborate we,gen_collab
We can collaborate with you,gen_collab
Do how i with collaborate you guys,gen_collab
wanna we collaborate with you people,gen_collab
we can collaborate?,gen_collab
We can do collaboration a together?,gen_collab
We can do a collab ALUTE with,gen_collab
Can club we our website? together,gen_collab
Do collaborate u with other company,gen_collab
How do i reach out for collaboration with ALUTE,gen_collab
We can collaborate with ALUTE or do an website together?,gen_collab
Chance any of collaboration?,gen_collab
Want I to collaborate,gen_collab
can collaborate we,gen_collab
I want collaborate to,gen_collab
sponsor can i y ' all?,gen_fund
We have a funding for offer if you want you it.,gen_fund
